ticker,year,entry_n,trade_mode,signal_date,entry_date,entry_price,candle_high,premium_pct,exit_date,exit_price,exit_reason,pnl_pct,re_entry_date,re_entry_price,re_exit_date,re_exit_price,re_exit_reason,re_pnl_pct
DAL,2016,3,option,2016-06-06,2016-06-13,36.9064,37.989,9.3571,2016-08-01,33.4279,8W,-9.36,,,,,,
GE,2016,2,option,2016-06-06,2016-06-13,127.7915,130.008,1.6135,2016-08-01,134.3429,8W,3.51,,,,,,
NKE,2016,3,option,2016-06-06,2016-06-13,48.3552,48.6717,3.1315,2016-08-01,49.1026,8W,-1.59,,,,,,
ORLY,2016,2,option,2016-06-06,2016-06-13,17.3747,17.6247,3.7318,2016-08-01,19.3653,8W,7.73,,,,,,
ADP,2016,2,option,2016-06-13,2016-06-20,71.7964,71.4077,1.839,2016-08-08,72.9785,8W,-0.19,,,,,,
CI,2016,2,option,2016-06-13,2016-06-20,116.2126,118.1668,2.8094,2016-08-08,121.1755,8W,1.46,,,,,,
ABT,2016,2,option,2016-06-20,2016-06-27,31.2985,33.0675,3.422,2016-08-15,37.1414,8W,15.25,,,,,,
KDP,2016,5,option,2016-06-20,2016-06-27,11.7468,11.8733,2.8335,2016-08-15,12.1353,8W,0.47,,,,,,
ORLY,2016,3,option,2016-06-20,2016-06-27,17.7033,17.9553,5.6448,2016-08-15,19.048,8W,1.95,,,,,,
TSN,2016,2,option,2016-06-20,2016-06-27,49.4262,50.6934,5.6448,2016-08-15,58.5699,8W,12.85,,,,,,
VLO,2016,5,option,2016-06-20,2016-06-27,35.4068,36.6715,4.1291,2016-08-15,37.6941,8W,2.33,,,,,,
AAL,2016,2,option,2016-06-27,2016-07-04,27.9562,28.3694,1.3994,2016-08-22,34.9221,8W,23.52,,,,,,
EL,2016,2,option,2016-06-27,2016-07-04,80.7591,81.6157,1.3828,2016-08-22,80.2822,8W,-1.38,,,,,,
ELV,2016,2,option,2016-06-27,2016-07-04,115.0727,115.7632,2.1378,2016-08-22,109.2077,8W,-2.14,,,,,,
FE,2016,2,option,2016-06-27,2016-07-04,23.3716,23.5116,1.3994,2016-08-22,21.7681,8W,-1.4,,,,,,
GE,2016,3,option,2016-06-27,2016-07-04,134.214,135.8461,1.3994,2016-08-22,134.1282,8W,-1.4,,,,,,
GILD,2016,2,option,2016-06-27,2016-07-04,59.817,60.255,1.6145,2016-08-22,56.3486,8W,-1.61,,,,,,
GOOG,2016,4,option,2016-06-27,2016-07-04,34.5196,34.7472,2.717,2016-08-22,38.1637,8W,7.84,,,,,,
GOOGL,2016,4,option,2016-06-27,2016-07-04,34.9615,35.3345,3.5568,2016-08-22,39.3359,8W,8.96,,,,,,
MSFT,2016,2,option,2016-06-27,2016-07-04,45.0376,45.8262,2.6582,2016-08-22,51.7376,8W,12.22,,,,,,
NKE,2016,4,option,2016-06-27,2016-07-04,48.6541,49.0674,2.7159,2016-08-22,51.872,8W,3.9,,,,,,
PM,2016,2,option,2016-06-27,2016-07-04,62.3627,62.9783,1.6246,2016-08-22,61.0083,8W,-1.62,,,,,,
PSA,2016,3,option,2016-06-27,2016-07-04,171.483,173.6932,1.3994,2016-08-22,151.4019,8W,-1.4,,,,,,
TJX,2016,2,option,2016-06-27,2016-07-04,33.4608,33.8489,3.2366,2016-08-22,34.4297,8W,-0.34,,,,,,
UAL,2016,2,option,2016-06-27,2016-07-04,40.8,41.8,8.1153,2016-08-22,46.87,8W,6.76,,,,,,
DAL,2016,4,option,2016-07-04,2016-07-11,33.4279,33.4988,7.2527,2016-08-29,33.1654,8W,-7.25,,,,,,
LUV,2016,2,option,2016-07-04,2016-07-11,36.3952,36.3685,7.2527,2016-08-29,32.8839,8W,-7.25,,,,,,
LVS,2016,2,option,2016-07-04,2016-07-11,35.4654,34.9689,2.106,2016-08-29,42.5033,8W,17.74,,,,,,
PANW,2016,3,option,2016-07-04,2016-07-11,21.035,21.1,2.8483,2016-08-29,24.1967,8W,12.18,,,,,,
VLO,2016,6,option,2016-07-11,2016-07-18,33.8972,34.5772,2.0309,2016-09-05,37.7628,8W,9.37,,,,,,
CTSH,2016,2,option,2016-08-01,2016-08-08,52.6065,53.3386,1.6611,2016-09-26,42.0834,8W,-1.66,,,,,,
PGR,2016,2,option,2016-08-01,2016-08-08,25.8745,25.8745,1.8047,2016-09-26,23.8877,8W,-1.8,,,,,,
LYB,2016,2,option,2016-08-08,2016-08-15,43.7195,44.0421,1.0943,2016-10-03,47.1654,8W,6.79,,,,,,
DAL,2016,5,option,2016-08-15,2016-08-22,32.5943,33.4866,6.2307,2016-10-10,35.7262,8W,3.38,,,,,,
PPG,2016,2,option,2016-08-15,2016-08-22,87.5194,88.2988,1.0617,2016-10-10,77.605,8W,-1.06,,,,,,
ACN,2016,2,option,2016-08-22,2016-08-29,99.2113,100.1769,1.9907,2016-10-17,99.651,8W,-1.55,,,,,,
CTSH,2016,3,option,2016-08-22,2016-08-29,50.9394,51.742,1.9907,2016-10-17,43.8475,8W,-1.99,,,,,,
LUV,2016,3,option,2016-08-22,2016-08-29,32.4561,32.8483,7.5,2016-10-17,37.8223,8W,9.03,,,,,,
AON,2016,2,option,2016-08-29,2016-09-05,103.1778,103.1502,1.8981,2016-10-24,102.3684,8W,-1.9,,,,,,
EXR,2016,2,option,2016-08-29,2016-09-05,56.6491,57.1679,1.135,2016-10-24,50.37,8W,-1.14,,,,,,
MCD,2016,2,option,2016-08-29,2016-09-05,93.3642,91.8688,2.6252,2016-10-24,89.3853,8W,-2.63,,,,,,
PM,2016,3,option,2016-08-29,2016-09-05,62.5843,62.8552,1.3177,2016-10-24,59.9043,8W,-1.32,,,,,,
PSA,2016,4,option,2016-08-29,2016-09-05,153.1998,154.9099,1.135,2016-10-24,141.5845,8W,-1.14,,,,,,
GILD,2016,2,option,2016-09-05,2016-09-12,54.8793,55.9036,1.9129,2016-10-31,51.4737,8W,-1.91,,,,,,
PYPL,2016,2,option,2016-09-05,2016-09-12,37.4498,39.1208,1.9662,2016-10-31,40.6825,8W,6.67,,,,,,
AVB,2016,3,option,2016-11-28,2016-12-05,120.4255,122.5252,1.3378,2017-01-23,127.6312,8W,4.65,,,,,,
IFF,2016,2,option,2016-11-28,2016-12-05,95.3419,96.3457,1.322,2017-01-23,95.2361,8W,-1.32,2017-02-20,97.0558,2017-04-10,105.3356,8W,7.21
NEE,2016,3,option,2016-11-28,2016-12-05,22.6324,23.468,1.3378,2017-01-23,24.0303,8W,4.84,,,,,,
ABT,2016,2,option,2016-12-05,2016-12-12,33.1193,33.2376,1.5609,2017-01-30,36.3775,8W,8.28,,,,,,
AMZN,2016,2,option,2016-12-05,2016-12-12,38.32,38.6895,2.0699,2017-01-30,40.51,8W,3.65,,,,,,
AON,2016,6,option,2016-12-05,2016-12-12,104.2401,107.5613,1.8617,2017-01-30,105.2272,8W,-0.91,,,,,,
AVGO,2016,3,option,2016-12-05,2016-12-12,13.7118,14.0083,2.4359,2017-01-30,15.9674,8W,14.01,,,,,,
BSX,2016,2,option,2016-12-05,2016-12-12,20.85,20.96,1.5609,2017-01-30,25.22,8W,19.4,,,,,,
CCI,2016,5,option,2016-12-05,2016-12-12,57.4441,57.5381,1.1133,2017-01-30,60.2648,8W,3.8,,,,,,
CHTR,2016,3,option,2016-12-05,2016-12-12,281.04,287.27,1.5283,2017-01-30,328.71,8W,15.43,,,,,,
CL,2016,2,option,2016-12-05,2016-12-12,53.2612,53.3336,1.1001,2017-01-30,53.3186,8W,-0.99,,,,,,
CSCO,2016,2,option,2016-12-05,2016-12-12,22.7443,22.9333,1.2861,2017-01-30,23.8852,8W,3.73,,,,,,
EL,2016,6,option,2016-12-05,2016-12-12,70.9223,71.0558,1.1001,2017-01-30,73.8767,8W,3.07,,,,,,
ET,2016,2,option,2016-12-05,2016-12-12,8.073,8.0914,1.9389,2017-01-30,8.788,8W,6.92,,,,,,
JNJ,2016,3,option,2016-12-05,2016-12-12,87.3799,87.7754,1.2687,2017-01-30,88.1166,8W,-0.43,,,,,,
MCO,2016,2,option,2016-12-05,2016-12-12,91.1765,91.9844,1.7136,2017-01-30,97.4746,8W,5.19,,,,,,
PEP,2016,3,option,2016-12-05,2016-12-12,78.3629,78.5365,1.3972,2017-01-30,79.3366,8W,-0.15,,,,,,
PM,2016,6,option,2016-12-05,2016-12-12,56.2407,56.3092,1.2924,2017-01-30,63.6132,8W,11.82,,,,,,
SO,2016,4,option,2016-12-05,2016-12-12,32.6089,32.6908,1.1133,2017-01-30,33.2907,8W,0.98,,,,,,
TMO,2016,3,option,2016-12-05,2016-12-12,140.4909,141.8349,1.3373,2017-01-30,147.6159,8W,3.73,,,,,,
TSLA,2016,4,option,2016-12-05,2016-12-12,12.8533,12.9227,6.456,2017-01-30,16.7553,8W,23.9,,,,,,
TSN,2016,2,option,2016-12-05,2016-12-12,48.7873,48.7322,2.5748,2017-01-30,51.4465,8W,2.88,,,,,,
WAT,2016,2,option,2016-12-05,2016-12-12,138.61,140.28,1.3373,2017-01-30,146.34,8W,4.24,,,,,,
ZTS,2016,3,option,2016-12-05,2016-12-12,48.1046,48.7173,1.5609,2017-01-30,52.0133,8W,6.56,,,,,,
AFL,2016,3,option,2016-12-12,2016-12-19,27.8994,28.5404,1.3173,2017-02-06,28.2098,8W,-0.2,,,,,,
AMT,2016,3,option,2016-12-12,2016-12-19,84.5647,85.9149,1.1559,2017-02-06,84.2447,8W,-1.16,2017-02-20,86.337,2017-04-10,97.9088,8W,12.25
BDX,2016,5,option,2016-12-12,2016-12-19,111.8666,114.6061,1.6206,2017-02-06,118.6654,8W,4.46,,,,,,
DHR,2016,2,option,2016-12-12,2016-12-19,66.912,68.1633,1.3885,2017-02-06,71.1169,8W,4.9,,,,,,
FE,2016,4,option,2016-12-12,2016-12-19,21.7332,21.9919,1.1559,2017-02-06,20.9846,8W,-1.16,,,,,,
ISRG,2016,3,option,2016-12-12,2016-12-19,71.0633,72.4667,1.6206,2017-02-06,78.3911,8W,8.69,,,,,,
KMI,2016,2,option,2016-12-12,2016-12-19,13.102,13.3604,2.0131,2017-02-06,13.9055,8W,4.12,,,,,,
LLY,2016,2,option,2016-12-12,2016-12-19,63.4455,63.6441,1.2984,2017-02-06,67.1669,8W,4.57,,,,,,
MDT,2016,2,option,2016-12-12,2016-12-19,57.4212,58.0383,1.6206,2017-02-06,59.8305,8W,2.58,,,,,,
MRK,2016,2,option,2016-12-12,2016-12-19,44.3619,44.9003,1.3305,2017-02-06,46.0488,8W,2.47,,,,,,
TXN,2016,3,option,2016-12-12,2016-12-19,56.6075,57.103,2.1876,2017-02-06,58.5642,8W,1.27,,,,,,
ABT,2016,3,option,2016-12-19,2016-12-26,32.511,32.6547,1.5197,2017-02-13,38.0016,8W,15.37,,,,,,
ADBE,2016,2,option,2016-12-19,2016-12-26,105.0,106.08,2.4685,2017-02-13,119.67,8W,11.5,,,,,,
AON,2016,7,option,2016-12-19,2016-12-26,104.1662,104.3784,1.8126,2017-02-13,108.745,8W,2.58,,,,,,
IFF,2016,3,option,2016-12-19,2016-12-26,94.2746,94.3302,1.071,2017-02-13,97.2386,8W,2.07,,,,,,
V,2016,2,option,2016-12-19,2016-12-26,73.3774,73.6867,1.2853,2017-02-13,81.9929,8W,10.46,,,,,,
BAX,2016,3,option,2016-12-26,2017-01-02,38.2001,38.5186,1.8651,2017-02-20,43.4593,8W,11.9,,,,,,
ADBE,2017,3,option,2017-01-02,2017-01-09,107.96,108.43,2.4426,2017-02-27,120.04,8W,8.75,,,,,,
AON,2017,8,option,2017-01-02,2017-01-09,105.0888,105.9468,1.7936,2017-02-27,107.7734,8W,0.76,,,,,,
CRM,2017,2,option,2017-01-02,2017-01-09,73.1611,73.2401,2.4426,2017-02-27,81.233,8W,8.59,,,,,,
DHR,2017,3,option,2017-01-02,2017-01-09,68.0853,68.3563,1.2883,2017-02-27,73.5304,8W,6.71,,,,,,
GOOGL,2017,2,option,2017-01-02,2017-01-09,40.9798,41.1082,2.726,2017-02-27,42.106,8W,0.02,,,,,,
KMI,2017,3,option,2017-01-02,2017-01-09,13.2619,13.4772,1.8679,2017-02-27,13.4539,8W,-0.42,,,,,,
MCO,2017,3,option,2017-01-02,2017-01-09,89.9462,90.6715,1.6509,2017-02-27,103.7572,8W,13.7,,,,,,
META,2017,2,option,2017-01-02,2017-01-09,122.588,122.9154,2.5409,2017-02-27,136.1019,8W,8.48,,,,,,
MRK,2017,3,option,2017-01-02,2017-01-09,43.2852,43.6369,1.2346,2017-02-27,47.7931,8W,9.18,,,,,,
SPGI,2017,2,option,2017-01-02,2017-01-09,105.1079,106.6343,1.6509,2017-02-27,119.5892,8W,12.13,,,,,,
TXN,2017,4,option,2017-01-02,2017-01-09,57.6915,57.5366,2.0298,2017-02-27,60.668,8W,3.13,,,,,,
WMB,2017,2,option,2017-01-02,2017-01-09,19.6798,20.0665,1.8679,2017-02-27,18.2004,8W,-1.87,,,,,,
YUM,2017,3,option,2017-01-02,2017-01-09,54.4282,54.8087,2.4806,2017-02-27,55.2328,8W,-1.0,,,,,,
QCOM,2017,2,option,2017-01-09,2017-01-16,51.7983,52.0856,2.0137,2017-03-06,45.9578,8W,-2.01,,,,,,
PEP,2017,4,option,2017-01-16,2017-01-23,77.6684,77.9855,1.3722,2017-03-13,84.6542,8W,7.62,,,,,,
AON,2017,9,option,2017-01-23,2017-01-30,104.1109,104.6275,1.6763,2017-03-20,108.7542,8W,2.78,,,,,,
WY,2017,2,option,2017-01-23,2017-01-30,21.7701,22.5953,1.0024,2017-03-20,23.3838,8W,6.41,,,,,,
CL,2017,3,option,2017-01-30,2017-02-06,53.4075,53.6176,1.027,2017-03-27,59.154,8W,9.73,,,,,,
JNJ,2017,4,option,2017-01-30,2017-02-06,87.977,88.1321,1.1845,2017-03-27,97.2153,8W,9.32,,,,,,
REGN,2017,2,option,2017-01-30,2017-02-06,355.4586,362.362,1.1675,2017-03-27,384.9097,8W,7.12,,,,,,
WMT,2017,4,option,2017-01-30,2017-02-06,18.9356,19.1553,2.4039,2017-03-27,20.7159,8W,7.0,,,,,,
BIIB,2017,2,option,2017-02-06,2017-02-13,276.28,276.41,1.1547,2017-04-03,268.73,8W,-1.15,,,,,,
LVS,2017,2,option,2017-02-06,2017-02-13,42.7214,43.0932,1.7311,2017-04-03,46.015,8W,5.98,,,,,,
MNST,2017,3,option,2017-02-06,2017-02-13,22.46,22.025,1.1934,2017-04-03,22.925,8W,0.88,,,,,,
FANG,2017,2,option,2017-02-13,2017-02-20,84.2256,87.6309,1.896,2017-04-10,80.7434,8W,-1.9,,,,,,
FDX,2017,2,option,2017-02-13,2017-02-20,167.2707,167.6322,2.5178,2017-04-10,158.4427,8W,-2.52,,,,,,
LIN,2017,2,option,2017-02-13,2017-02-20,100.6882,101.4865,1.0886,2017-04-10,101.5075,8W,-0.27,,,,,,
QCOM,2017,3,option,2017-02-13,2017-02-20,44.1268,44.2122,2.0603,2017-04-10,41.373,8W,-2.06,,,,,,
EW,2017,2,option,2017-02-20,2017-02-27,31.56,33.4933,1.5237,2017-04-17,32.59,8W,1.74,,,,,,
HUM,2017,2,option,2017-02-20,2017-02-27,189.5024,191.7011,1.6601,2017-04-17,197.7747,8W,2.71,,,,,,
LVS,2017,3,option,2017-02-20,2017-02-27,42.1717,42.3253,1.83,2017-04-17,46.9811,8W,9.57,,,,,,
C,2017,2,option,2017-02-27,2017-03-06,45.7295,46.5869,1.8004,2017-04-24,44.4659,8W,-1.8,2017-05-29,46.5981,2017-07-17,49.7731,8W,5.01
FDX,2017,3,option,2017-02-27,2017-03-06,166.9522,170.911,2.4017,2017-04-24,163.591,8W,-2.4,,,,,,
WMB,2017,3,option,2017-02-27,2017-03-06,18.1206,18.3416,1.8085,2017-04-24,18.9957,8W,3.02,,,,,,
EQT,2017,2,option,2017-03-13,2017-03-20,28.7741,29.5046,1.8613,2017-05-08,28.4289,8W,-1.86,,,,,,
FANG,2017,3,option,2017-03-13,2017-03-20,79.4828,80.9433,1.8613,2017-05-08,78.3298,8W,-1.86,,,,,,
FDX,2017,4,option,2017-03-13,2017-03-20,168.2047,169.1015,2.4718,2017-05-08,165.2812,8W,-2.47,,,,,,
GIS,2017,2,option,2017-03-13,2017-03-20,43.7561,44.1666,1.2407,2017-05-08,40.8381,8W,-1.24,,,,,,
OXY,2017,2,option,2017-03-13,2017-03-20,50.1211,51.2609,1.8081,2017-05-08,47.8493,8W,-1.81,,,,,,
PLD,2017,2,option,2017-03-13,2017-03-20,39.713,39.6523,1.0687,2017-05-08,42.2802,8W,5.4,,,,,,
ROST,2017,2,option,2017-03-13,2017-03-20,61.7169,62.1652,2.4718,2017-05-08,58.0849,8W,-2.47,,,,,,
SYY,2017,2,option,2017-03-13,2017-03-20,41.81,42.0798,2.4718,2017-05-08,43.0853,8W,0.58,,,,,,
VZ,2017,2,option,2017-03-13,2017-03-20,31.0668,31.073,1.4671,2017-05-08,28.5818,8W,-1.47,,,,,,
FANG,2017,4,option,2017-03-27,2017-04-03,79.5596,80.3591,2.0412,2017-05-22,75.647,8W,-2.04,,,,,,
FDX,2017,5,option,2017-03-27,2017-04-03,168.9032,169.2222,2.7106,2017-05-22,167.5233,8W,-2.71,2017-06-05,174.7759,2017-07-24,179.8331,8W,0.18
GE,2017,2,option,2017-03-27,2017-04-03,130.8168,132.0476,1.172,2017-05-22,120.6627,8W,-1.17,,,,,,
LIN,2017,3,option,2017-03-27,2017-04-03,102.6136,103.3567,1.172,2017-05-22,114.0372,8W,9.96,,,,,,
OKE,2017,2,option,2017-03-27,2017-04-03,31.8444,32.1024,2.0412,2017-05-22,29.9699,8W,-2.04,,,,,,
TGT,2017,2,option,2017-03-27,2017-04-03,42.3436,42.7654,2.7106,2017-05-22,42.1683,8W,-2.71,,,,,,
APD,2017,2,option,2017-04-03,2017-04-10,109.2584,110.7775,1.2194,2017-05-29,118.607,8W,7.34,,,,,,
CVX,2017,2,option,2017-04-03,2017-04-10,74.2899,75.3452,2.063,2017-05-29,70.9123,8W,-2.06,,,,,,
AXP,2017,2,option,2017-05-29,2017-06-05,69.9622,69.9533,1.4656,2017-07-24,75.6214,8W,6.62,,,,,,
BIIB,2017,2,option,2017-05-29,2017-06-05,257.37,258.26,1.0376,2017-07-24,287.44,8W,10.65,,,,,,
GE,2017,4,option,2017-05-29,2017-06-05,122.6408,122.8166,0.9238,2017-07-24,113.1696,8W,-0.92,,,,,,
PCAR,2017,2,option,2017-05-29,2017-06-05,29.9815,30.701,1.1988,2017-07-24,32.4879,8W,7.16,,,,,,
WM,2017,2,option,2017-05-29,2017-06-05,63.2215,63.5545,2.1365,2017-07-24,64.251,8W,-0.51,,,,,,
BAC,2017,3,option,2017-06-05,2017-06-12,19.4449,19.3224,1.7577,2017-07-31,20.3836,8W,3.07,,,,,,
CVX,2017,4,option,2017-06-05,2017-06-12,73.175,73.2369,1.7151,2017-07-31,75.7265,8W,1.77,,,,,,
EPD,2017,3,option,2017-06-05,2017-06-12,14.3667,14.6154,1.7656,2017-07-31,14.2824,8W,-1.77,,,,,,
GS,2017,3,option,2017-06-05,2017-06-12,185.2169,185.3991,1.6953,2017-07-31,190.3188,8W,1.06,,,,,,
JPM,2017,3,option,2017-06-05,2017-06-12,68.7701,68.8413,1.6953,2017-07-31,74.4761,8W,6.6,,,,,,
KMI,2017,2,option,2017-06-05,2017-06-12,11.9418,11.9169,1.7656,2017-07-31,12.648,8W,4.15,,,,,,
PNC,2017,3,option,2017-06-05,2017-06-12,91.5923,92.031,1.6953,2017-07-31,98.8597,8W,6.24,,,,,,
SPG,2017,2,option,2017-06-05,2017-06-12,97.4852,98.1245,2.3447,2017-07-31,103.1197,8W,3.44,,,,,,
BRK-B,2017,4,option,2017-07-17,2017-07-24,171.5,171.87,1.483,2017-09-11,179.89,8W,3.41,,,,,,
ORLY,2017,4,option,2017-07-17,2017-07-24,12.55,12.7467,2.0511,2017-09-11,13.9907,8W,9.43,,,,,,
PEG,2017,3,option,2017-07-17,2017-07-24,33.2849,33.2849,0.8868,2017-09-11,34.4031,8W,2.47,,,,,,
PG,2017,2,option,2017-07-17,2017-07-24,70.6088,70.6605,0.8763,2017-09-11,74.3725,8W,4.45,,,,,,
T,2017,2,option,2017-07-17,2017-07-24,14.9901,15.0763,1.2174,2017-09-11,15.2323,8W,0.4,,,,,,
BAC,2017,5,option,2017-07-24,2017-07-31,19.6897,20.1387,1.6904,2017-09-18,20.5289,8W,2.57,,,,,,
COP,2017,6,option,2017-07-24,2017-07-31,34.5216,34.9861,1.6494,2017-09-18,37.3774,8W,6.62,,,,,,
CVX,2017,6,option,2017-07-24,2017-07-31,74.5436,75.0525,1.6494,2017-09-18,81.4749,8W,7.65,,,,,,
GS,2017,4,option,2017-07-24,2017-07-31,185.4819,185.308,1.6304,2017-09-18,191.9993,8W,1.88,,,,,,
PAYX,2017,3,option,2017-07-24,2017-07-31,44.7721,47.1341,1.5007,2017-09-18,46.2746,8W,1.86,,,,,,
ROST,2017,5,option,2017-07-24,2017-07-31,50.5361,50.7654,2.2549,2017-09-18,55.9984,8W,8.55,,,,,,
TJX,2017,2,option,2017-07-24,2017-07-31,30.8558,30.993,2.2549,2017-09-18,32.1928,8W,2.08,,,,,,
CMCSA,2017,2,option,2017-07-31,2017-08-07,29.8424,30.7611,1.3046,2017-09-25,28.9764,8W,-1.3,,,,,,
D,2017,2,option,2017-07-31,2017-08-07,53.0836,53.3966,0.9503,2017-09-25,52.8459,8W,-0.95,2017-10-16,54.3709,2017-12-04,58.1532,8W,6.01
DUK,2017,2,option,2017-07-31,2017-08-07,60.5731,60.6571,0.9503,2017-09-25,59.402,8W,-0.95,2017-10-16,61.3698,2017-12-04,62.9439,8W,1.61
EMR,2017,4,option,2017-07-31,2017-08-07,49.3591,49.5371,1.0979,2017-09-25,51.2635,8W,2.76,,,,,,
GE,2017,6,option,2017-07-31,2017-08-07,114.1005,114.5881,0.9503,2017-09-25,108.2563,8W,-0.95,,,,,,
IBM,2017,2,option,2017-07-31,2017-08-07,95.2431,95.6832,1.0979,2017-09-25,96.3025,8W,0.01,,,,,,
SRE,2017,2,option,2017-07-31,2017-08-07,44.3932,44.4613,0.9503,2017-09-25,43.5414,8W,-0.95,,,,,,
CMCSA,2017,4,option,2017-09-25,2017-10-02,28.9237,29.2475,1.2369,2017-11-20,27.1239,8W,-1.24,,,,,,
DLR,2017,3,option,2017-09-25,2017-10-02,88.5286,88.4839,2.0521,2017-11-20,87.693,8W,-2.05,2017-12-04,88.551,2018-01-22,83.9759,8W,-2.05
ELV,2017,2,option,2017-09-25,2017-10-02,170.6507,169.6956,1.3765,2017-11-20,196.6932,8W,13.88,,,,,,
KMB,2017,5,option,2017-09-25,2017-10-02,87.217,87.4243,0.8904,2017-11-20,86.2397,8W,-0.89,,,,,,
AMZN,2017,3,option,2017-10-02,2017-10-09,49.662,49.7875,1.7,2017-11-27,58.1175,8W,15.33,,,,,,
AVB,2017,2,option,2017-10-02,2017-10-09,134.831,138.1733,0.9143,2017-11-27,136.8077,8W,0.55,,,,,,
AVGO,2017,4,option,2017-10-02,2017-10-09,19.2995,19.2799,2.0006,2017-11-27,21.3048,8W,8.39,,,,,,
